Xianyang,CN,34.33778,108.70261,72
Nanchong,CN,30.79508,106.08473,71
Suixi,CN,33.89067,116.77473,71
Chifeng,CN,42.26833,118.96361,70
Suzhou,CN,31.30408,120.59538,70
Hepingjie,CN,42.05972,126.91583,68
Lucheng,CN,31.23357,117.28057,67
Xichang,CN,27.89642,102.26341,67
Guangshui,CN,31.6199,113.9978,66
Xiazhen,CN,34.80222,117.11167,66
Huangchuan,CN,32.12722,115.03944,66
Meizhou,CN,24.29769,116.10724,65
Zhangye,CN,38.93417,100.45167,65
Dêqên,CN,29.96178,90.71875,64
Jimo,CN,36.38972,120.46222,64
Qufu,CN,35.59667,116.99111,63
Bozhou,CN,33.87722,115.77028,62
Guangyuan,CN,32.44201,105.823,61
Tai’an,CN,36.18528,117.12,60
Mujiayingzi,CN,42.11667,118.78333,60
Ningyang,CN,35.76417,116.79139,58
Shache,CN,38.41667,77.24056,58
Xingcheng,CN,40.61667,120.71667,57
Mingguang,CN,32.78017,117.96378,56
Huainan,CN,32.62639,116.99694,56
Jinchang,CN,38.50062,102.19379,55
Wanning,CN,18.79931,110.3841,55
Macheng,CN,31.18013,115.02213,55
Harbin,CN,45.75,126.65,55
Majie,CN,25.0319,102.638,54
Gutao,CN,37.2025,112.17806,54
Yueyang,CN,29.37455,113.09481,54
Shahecheng,CN,36.93833,114.50583,53
Jalai Nur,CN,49.45,117.7,53
Manzhouli,CN,49.6,117.43333,52
Dasha,CN,23.11037,113.4418,52
Zalantun,CN,48.0,122.71667,50
Beichengqu,CN,40.43944,113.15361,50
Chenzhou,CN,25.8,113.03333,50
Qianguo,CN,45.11711,124.85676,50
Longjiang,CN,47.33072,123.17816,50
Lüshun,CN,38.8,121.26667,50
Jinzhou,CN,41.10778,121.14167,49
Yingbazha,CN,41.18418,80.27921,49
Huangshan,CN,29.71139,118.3125,49
Qingnian,CN,36.84032,115.71183,48
Fushun,CN,41.85583,123.92333,47
Heze,CN,35.23929,115.47358,47
Chuzhou,CN,32.32194,118.29778,47
Minggang,CN,32.45861,114.04861,47
Xiaogan,CN,30.92689,113.92221,47
Puqi,CN,29.71667,113.88333,47
Humen,CN,22.81899,113.67306,47
Meihekou,CN,42.52722,125.67528,46
Yuxia,CN,34.06153,108.62905,46
Kashi,CN,39.47066,75.98951,45
Tieling,CN,42.29306,123.84139,45
Puning,CN,23.31072,116.16869,45
